system   D            wsystem.c:583  maybe_parent_dir                 [   0.00025] Also searching d:\documents\visual studio 2010\Projects\Trake\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00042] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00045] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00598] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:696  _al_d3d_init_display             [   0.02221] Render-to-texture: 1
system   I             system.c:252  al_install_system                [   0.02225] Allegro version: 5.0.10
display  W   display_settings.c:654  _al_deduce_color_format          [   0.02234] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
display  W   display_settings.c:654  _al_deduce_color_format          [   0.02271] Could not deduce color format, sizes = (0,0,0,0,0), shifts = (0,0,0,0)
d3d      I         d3d_disp.cpp:1737 d3d_create_display_locked        [   0.02351] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1738 d3d_create_display_locked        [   0.02352] al_display=000B5110
d3d      D         d3d_disp.cpp:1739 d3d_create_display_locked        [   0.02353] al_display->vt=000B5048
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.02432] found 288 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.02434] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.02435] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02436] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.02437] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02438] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02439] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02440] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02442] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02443] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02444] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02445] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02446] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02447] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02448] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02449] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02450] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02451] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02453] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02454] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.02455] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02458] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:227  _al_score_display_settings       [   0.02460] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02461] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02462] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02463] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02464] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02465] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:227  _al_score_display_settings       [   0.02466] Vsync requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02467] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
